,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,season_year,composite_performance_score
1192,1192,Toby Bailey,PHX,23.0,198.12,96.615096,UCLA,USA,1998,2,45,27,2.9,2.0,0.5,0.0,0.1009999999999999,0.146,0.185,0.425,0.083,1998-99,1998,0.20445449041009275
1199,1199,Shammond Williams,ATL,24.0,185.42,91.171992,North Carolina,USA,1998,2,34,2,1.5,0.0,0.5,0.0,0.0,0.0,0.294,0.5429999999999999,1.0,1998-99,1998,0.23169885977513063
1219,1219,Keon Clark,DEN,24.0,210.82,99.79024,Nevada-Las Vegas,USA,1998,1,13,28,3.3,3.4,0.4,0.0,0.106,0.181,0.133,0.483,0.044,1998-99,1998,0.21169704512654133
1239,1239,Jason Williams,SAC,23.0,185.42,86.18248,Florida,USA,1998,1,7,50,12.8,3.1,6.0,0.0,0.008,0.08,0.186,0.483,0.243,1998-99,1998,0.4100288479479474
1247,1247,Jerome James,SAC,23.0,215.9,136.0776,Florida A&M,USA,1998,2,36,16,1.5,1.1,0.1,0.0,0.118,0.268,0.3379999999999999,0.41,0.053,1998-99,1998,0.2370913170336868
1257,1257,Jelani McCoy,SEA,21.0,208.28,111.13004,UCLA,USA,1998,2,33,26,5.1,3.0,0.2,0.0,0.096,0.171,0.147,0.7040000000000001,0.023,1998-99,1998,0.25546077811012047
1262,1262,Mike Bibby,VAN,21.0,187.96,86.18248,Arizona,USA,1998,1,2,50,13.2,2.7,6.5,0.0,0.02,0.072,0.215,0.487,0.3429999999999999,1998-99,1998,0.4303552349652741
1266,1266,Michael Olowokandi,LAC,24.0,213.36,122.016248,Pacific,Nigeria,1998,1,1,45,8.9,7.9,0.6,0.0,0.107,0.24,0.1939999999999999,0.445,0.034,1998-99,1998,0.3386376404605629
1269,1269,Michael Doleac,ORL,22.0,210.82,118.841104,Utah,USA,1998,1,12,49,6.2,3.0,0.4,5.5,0.0969999999999999,0.13,0.186,0.503,0.044,1998-99,1998,0.26724021618547916
1270,1270,Michael Dickerson,HOU,24.0,195.58,86.18248,Arizona,USA,1998,1,14,50,10.9,1.7,1.9,4.4,0.021,0.039,0.1689999999999999,0.5539999999999999,0.1009999999999999,1998-99,1998,0.31024435584692456
